GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
16,1973.4642,4919.7874,7790.6835,0.0,0.0,0.0,-4978.6849,-43347.1908,2194.3306,24315.1514,-5474.0656,193.32014976,-7132.458600000002,-5280.74545024,-12413.204050240001
17,1978.7894,4909.2836,7821.8209,0.0,0.0,0.0,-4967.515,-43758.8091,2201.4766,24392.4075,-5213.4623,187.49067839999998,-7422.5461,-5025.9716216,-12448.5177216
18,1996.729,4905.2787,7786.8941,0.0,0.0,0.0,-4966.2394,-43581.1577,2197.1833,24332.2322,-5274.1285,191.1432672,-7329.079800000003,-5082.9852328,-12412.065032800003
19,1982.1603,4929.4948,7760.096,0.0,0.0,0.0,-5018.5357,-43433.6931,2190.2292,24347.1112,-5364.3491,188.80531056,-7243.137299999995,-5175.54378944,-12418.681089439995
20,1885.8785,4904.4516,7780.527,0.0,0.0,0.0,-4945.195,-43691.5203,2210.1887,24539.7173,-5342.2094,192.4905348,-7315.952199999996,-5149.7188651999995,-12465.671065199997
21,1981.7464,4937.1016,7822.7899,0.0,0.0,0.0,-4971.3074,-43782.2831,2206.8801,24433.2885,-5173.0876,189.05390424,-7371.784000000007,-4984.03369576,-12355.817695760006
22,2000.3918,4928.0831,7817.1415,0.0,0.0,0.0,-4932.926,-43523.8015,2202.3166,24270.2331,-5344.5969,192.70572335999998,-7238.561400000002,-5151.89117664,-12390.452576640002
23,1980.8468,4891.5087,7837.5217,0.0,0.0,0.0,-4976.3565,-43566.8501,2258.6257,24384.0325,-5316.5789,187.84120968,-7190.671200000001,-5128.73769032,-12319.40889032
24,2030.3462,4884.9238,7778.6296,0.0,0.0,0.0,-4948.0474,-43583.4269,2231.6594,24333.3823,-5291.8521,191.51415504,-7272.532999999996,-5100.33794496,-12372.870944959996
25,1886.4089,4984.1334,7807.0796,0.0,0.0,0.0,-4971.6763,-43560.7224,2210.3907,24369.7514,-5295.9057,192.39656183999998,-7274.634699999999,-5103.5091381600005,-12378.143838159998
26,1948.5494,4952.325,7757.1601,0.0,0.0,0.0,-5042.6664,-43582.3477,2219.1132,24443.7633,-5336.046,192.6644184,-7304.1031,-5143.381581600001,-12447.4846816
27,1977.6028,5054.5847,7858.5432,0.0,0.0,0.0,-4954.063,-43642.2662,2193.4943,24304.273,-5215.1079,192.16565712,-7207.8312000000005,-5022.94224288,-12230.77344288
28,1986.2559,4793.0143,7790.6941,0.0,0.0,0.0,-4955.9296,-43136.4731,2202.9419,24325.6829,-5671.9768,196.17513408,-6993.813600000001,-5475.80166592,-12469.615265920002
29,2007.4561,4874.9135,7740.4539,0.0,0.0,0.0,-4948.6844,-43607.619,2196.078,24348.586,-5189.9454,191.50155144,-7388.815899999998,-4998.443848559999,-12387.259748559998
30,1961.2711,4928.4746,7846.8852,0.0,0.0,0.0,-5001.9912,-43533.8643,2221.251,24380.9794,-5338.2728,189.10438704,-7196.994200000001,-5149.16841296,-12346.162612959999
31,1983.1457,4867.3993,7820.153,0.0,0.0,0.0,-4978.0445,-43355.8721,2219.5549,24425.6181,-5583.2029,192.06896184,-7018.045600000001,-5391.13393816,-12409.179538160002
