GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
7,1934.8136,4839.3784,7730.5138,0.0,0.0,0.0,-4944.6229,-43045.3435,2211.3345,24322.7767,-5613.0604,196.16347224,-6951.149400000002,-5416.89692776,-12368.046327760003
8,1965.2442,4819.1026,7810.1675,0.0,0.0,0.0,-4898.1643,-43276.7708,2196.4558,24370.2126,-5564.2689,195.04646352,-7013.752400000001,-5369.22243648,-12382.97483648
9,1979.3133,4793.1314,7773.5322,0.0,0.0,0.0,-4858.1504,-43180.6931,2162.6389,24168.3905,-5449.9563,201.03922871999998,-7161.8371999999945,-5248.91707128,-12410.754271279995
10,2024.4353,4884.6132,7790.4064,0.0,0.0,0.0,-4863.5634,-43341.6467,2169.7136,24196.9162,-5356.6705,194.0154048,-7139.125400000001,-5162.6550952,-12301.7804952
11,1953.4193,4850.439,7658.0014,0.0,0.0,0.0,-4889.0518,-43258.5696,2186.7721,24274.1493,-5435.4801,192.53464775999998,-7224.8403,-5242.94545224,-12467.78575224
12,1972.642,4841.6077,7742.663,0.0,0.0,0.0,-4840.1308,-43409.9548,2183.7664,24373.7302,-5467.8382,195.41030688,-7135.676300000003,-5272.427893120001,-12408.104193120003
13,1907.1675,4770.8161,7739.0563,0.0,0.0,0.0,-4847.2976,-43285.1573,2220.3165,24404.5707,-5541.8632,198.48193056,-7090.5278,-5343.381269439999,-12433.90906944
14,1917.3861,4823.1203,7742.656,0.0,0.0,0.0,-4816.2722,-43301.7441,2212.3036,24354.7278,-5532.8446,200.54448792,-7067.822500000002,-5332.30011208,-12400.122612080002
15,1985.824,4820.0053,7745.7618,0.0,0.0,0.0,-4826.4047,-43040.2627,2193.0081,24238.0544,-5631.8036,198.01893671999997,-6884.013800000001,-5433.78466328,-12317.79846328
16,1922.2378,4933.1345,7778.947,0.0,0.0,0.0,-4852.2214,-43266.1069,2209.2472,24333.318,-5488.9152,198.45565416,-6941.443800000001,-5290.45954584,-12231.90334584
17,1936.3005,4878.3286,7782.6535,0.0,0.0,0.0,-4854.2591,-43324.0001,2185.6343,24367.5642,-5468.8481,195.74184168,-7027.778099999992,-5273.10625832,-12300.884358319992
18,1911.9529,4806.0385,7752.7433,0.0,0.0,0.0,-4854.3496,-43184.1174,2201.0,24355.6168,-5593.5995,196.96689432,-7011.1155000000035,-5396.63260568,-12407.748105680004
19,1948.12,4880.2866,7739.3983,0.0,0.0,0.0,-4906.31,-43217.5881,2211.2514,24231.9938,-5385.0025,192.52759104,-7112.848000000002,-5192.47490896,-12305.32290896
